nohup: ignoring input
Linux 5.14.0-427.44.1.el9_4.x86_64 (bc488234cf69) 	11/22/24 	_x86_64_	(8 CPU)

22:33:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:35:18     all    6.29    0.00    2.64    0.13    0.38    0.63    0.13    0.00    0.00   89.81
22:35:19     all    5.01    0.00    2.26    0.13    0.50    0.38    0.00    0.00    0.00   91.73
22:35:20     all    5.75    0.00    2.50    0.12    0.62    0.75    0.00    0.00    0.00   90.25
22:35:21     all    9.42    0.00    4.65    0.13    0.75    0.75    0.00    0.00    0.00   84.30
22:35:22     all    6.19    0.00    4.05    0.13    0.51    0.51    0.00    0.00    0.00   88.62
22:35:23     all    4.76    0.00    2.25    0.00    0.75    0.63    0.00    0.00    0.00   91.61
22:35:24     all    4.53    0.00    2.27    0.13    0.38    0.50    0.00    0.00    0.00   92.19
22:35:25     all    8.83    0.00    3.15    0.13    0.76    0.76    0.00    0.00    0.00   86.38
22:35:26     all    8.65    0.00    2.63    0.00    0.63    0.75    0.00    0.00    0.00   87.34
22:35:27     all    5.40    0.00    2.89    0.38    0.63    0.63    0.13    0.00    0.00   89.96
22:35:28     all    4.67    0.00    1.64    0.13    0.51    0.38    0.00    0.00    0.00   92.68
22:35:29     all    4.27    0.00    2.26    0.00    0.50    0.75    0.00    0.00    0.00   92.22
22:35:30     all    3.78    0.00    1.39    0.00    0.50    0.38    0.00    0.00    0.00   93.95
22:35:31     all   20.68    0.00    3.40    0.00    0.38    0.38    0.00    0.00    0.00   75.16
22:35:32     all    7.52    0.00    2.88    0.00    0.63    0.63    0.00    0.00    0.00   88.35
22:35:33     all    4.31    0.00    1.90    0.00    0.38    0.38    0.00    0.00    0.00   93.03
22:35:34     all    8.86    0.00    2.50    0.00    0.50    0.75    0.12    0.00    0.00   87.27
22:35:35     all    3.78    0.00    2.14    0.13    0.50    0.13    0.00    0.00    0.00   93.32
22:35:36     all    5.78    0.00    1.76    0.00    0.50    0.88    0.13    0.00    0.00   90.95
22:35:37     all    4.25    0.00    2.00    0.12    0.50    0.25    0.12    0.00    0.00   92.75
22:35:38     all    5.00    0.00    1.62    0.25    0.50    0.62    0.00    0.00    0.00   92.00
22:35:39     all    6.41    0.00    2.51    0.13    0.63    0.25    0.00    0.00    0.00   90.08
22:35:40     all    3.51    0.00    1.38    0.00    0.38    0.88    0.00    0.00    0.00   93.86
22:35:41     all    5.69    0.00    3.67    0.13    0.51    0.25    0.00    0.00    0.00   89.76
22:35:42     all    5.53    0.00    2.89    0.13    0.50    0.50    0.00    0.00    0.00   90.45
22:35:43     all    7.81    0.00    2.02    0.00    0.38    0.63    0.00    0.00    0.00   89.17
22:35:44     all    5.03    0.00    1.76    0.00    0.50    0.13    0.00    0.00    0.00   92.59
22:35:45     all    3.39    0.00    1.63    0.13    0.38    0.88    0.13    0.00    0.00   93.47
22:35:46     all    5.12    0.00    1.88    0.00    0.62    0.38    0.00    0.00    0.00   92.00
22:35:47     all    3.27    0.00    1.76    0.13    0.38    0.38    0.00    0.00    0.00   94.09
22:35:48     all    6.50    0.00    2.62    0.12    0.62    0.88    0.00    0.00    0.00   89.25
22:35:49     all    8.37    0.00    3.30    0.13    0.76    0.63    0.00    0.00    0.00   86.82
22:35:50     all    5.13    0.00    2.25    0.25    0.75    0.63    0.00    0.00    0.00   90.99
22:35:51     all    6.56    0.00    3.28    0.00    0.50    0.63    0.00    0.00    0.00   89.03
22:35:52     all    5.79    0.00    3.02    0.00    0.63    0.88    0.00    0.00    0.00   89.67
22:35:53     all    3.66    0.00    1.77    0.00    0.38    0.13    0.13    0.00    0.00   93.94
22:35:54     all    5.50    0.00    2.38    0.00    0.75    0.75    0.00    0.00    0.00   90.62
22:35:55     all    7.04    0.00    2.64    0.00    0.50    0.63    0.00    0.00    0.00   89.20
22:35:56     all   23.77    0.00    3.02    0.00    0.63    0.75    0.00    0.00    0.00   71.82
22:35:57     all    5.53    0.00    2.39    0.00    0.63    0.38    0.00    0.00    0.00   91.07
22:35:58     all    4.52    0.00    2.39    0.00    0.50    0.75    0.00    0.00    0.00   91.83
22:35:59     all    5.38    0.00    2.38    0.13    0.63    0.63    0.00    0.00    0.00   90.86
22:36:00     all    4.53    0.00    1.89    0.00    0.50    0.25    0.00    0.00    0.00   92.83
22:36:01     all    6.12    0.00    3.88    0.25    0.50    0.62    0.00    0.00    0.00   88.62
22:36:02     all    7.68    0.00    2.90    0.13    0.63    0.50    0.13    0.00    0.00   88.04
22:36:03     all    4.17    0.00    2.28    0.00    0.51    0.38    0.00    0.00    0.00   92.67
22:36:04     all    9.90    0.00    2.88    0.25    0.75    0.75    0.00    0.00    0.00   85.46
22:36:05     all    4.16    0.00    2.39    0.00    0.25    0.50    0.00    0.00    0.00   92.70
22:36:06     all    6.82    0.00    2.27    0.00    0.76    0.76    0.00    0.00    0.00   89.39
22:36:07     all    4.67    0.00    2.15    0.25    0.51    0.51    0.00    0.00    0.00   91.92
22:36:08     all    5.90    0.00    2.38    0.50    0.63    0.50    0.00    0.00    0.00   90.09
22:36:09     all   10.30    0.00    3.77    0.50    0.75    1.01    0.00    0.00    0.00   83.67
22:36:10     all    5.66    0.00    2.39    0.38    0.75    0.63    0.00    0.00    0.00   90.19
22:36:11     all    8.06    0.00    4.66    0.00    0.76    0.76    0.00    0.00    0.00   85.77
22:36:12     all    7.22    0.00    3.42    0.25    0.25    0.51    0.00    0.00    0.00   88.34
22:36:13     all    6.24    0.00    2.12    0.00    0.75    0.50    0.00    0.00    0.00   90.39
22:36:14     all    4.29    0.00    1.89    0.00    0.25    0.51    0.00    0.00    0.00   93.06
22:36:15     all    3.74    0.00    2.62    0.12    0.75    0.37    0.00    0.00    0.00   92.39
22:36:16     all    7.48    0.00    2.28    0.00    0.38    0.89    0.00    0.00    0.00   88.97
22:36:17     all    5.02    0.00    1.88    0.00    0.75    0.50    0.00    0.00    0.00   91.84
22:36:18     all    4.40    0.00    2.64    0.13    0.50    0.50    0.25    0.00    0.00   91.58
22:36:19     all    4.67    0.00    2.40    0.00    0.50    0.50    0.00    0.00    0.00   91.93
22:36:20     all    3.77    0.00    1.89    0.13    0.50    0.38    0.00    0.00    0.00   93.33
22:36:21     all    6.79    0.00    3.27    0.00    0.50    0.50    0.00    0.00    0.00   88.93
22:36:22     all    5.25    0.00    3.38    0.00    0.50    0.62    0.00    0.00    0.00   90.25
22:36:23     all    2.77    0.00    1.26    0.13    0.63    0.25    0.13    0.00    0.00   94.84
22:36:24     all    2.76    0.00    1.75    0.00    0.38    0.25    0.13    0.00    0.00   94.74
22:36:25     all    5.14    0.00    2.63    0.13    0.25    0.63    0.00    0.00    0.00   91.22
22:36:26     all   12.34    0.00    2.77    0.00    0.76    0.76    0.00    0.00    0.00   83.38
22:36:27     all    5.53    0.00    2.39    0.13    0.50    0.50    0.00    0.00    0.00   90.94
22:36:28     all    3.37    0.00    1.62    0.12    0.50    0.37    0.00    0.00    0.00   94.01
22:36:29     all    8.05    0.00    3.14    0.25    0.88    0.75    0.00    0.00    0.00   86.92
22:36:30     all    4.69    0.00    2.03    0.00    0.38    0.76    0.00    0.00    0.00   92.14
22:36:31     all    5.62    0.00    3.88    0.00    0.62    0.50    0.00    0.00    0.00   89.38
22:36:32     all   10.00    0.00    3.16    0.00    0.63    0.38    0.00    0.00    0.00   85.82
22:36:33     all   17.17    0.00    2.26    0.13    0.63    0.63    0.00    0.00    0.00   79.20
22:36:34     all   11.22    0.00    2.90    0.00    0.76    0.76    0.00    0.00    0.00   84.36
22:36:35     all    5.26    0.00    2.51    0.25    0.25    0.38    0.00    0.00    0.00   91.35
22:36:36     all    6.12    0.00    2.38    0.00    1.00    0.62    0.00    0.00    0.00   89.88
22:36:37     all    4.30    0.00    1.90    0.00    0.00    0.38    0.00    0.00    0.00   93.42
22:36:38     all    5.01    0.00    1.63    0.00    0.88    0.63    0.00    0.00    0.00   91.85
22:36:39     all    5.92    0.00    2.64    0.00    0.50    0.38    0.00    0.00    0.00   90.55
22:36:40     all    4.89    0.00    1.88    0.25    0.63    0.88    0.00    0.00    0.00   91.47
22:36:41     all    6.57    0.00    3.66    0.00    0.76    0.51    0.00    0.00    0.00   88.51
22:36:42     all    5.28    0.00    3.02    0.13    0.25    0.25    0.00    0.00    0.00   91.07
22:36:43     all    5.88    0.00    2.00    0.00    0.50    0.62    0.00    0.00    0.00   91.00
22:36:44     all   11.21    0.00    1.66    0.00    0.64    0.51    0.00    0.00    0.00   85.99
22:36:45     all   17.67    0.00    2.13    0.00    0.63    0.75    0.00    0.00    0.00   78.82
22:36:46     all    5.81    0.00    2.02    0.00    0.38    0.63    0.13    0.00    0.00   91.04
22:36:47     all    5.39    0.00    1.63    0.25    0.63    0.25    0.00    0.00    0.00   91.85
22:36:48     all    6.18    0.00    2.40    0.00    0.38    0.50    0.00    0.00    0.00   90.54
22:36:49     all    7.38    0.00    2.50    0.12    0.62    0.88    0.12    0.00    0.00   88.38
22:36:50     all    5.96    0.00    1.52    0.13    0.25    0.13    0.13    0.00    0.00   91.89
22:36:51     all    4.98    0.00    3.24    0.12    0.75    0.87    0.00    0.00    0.00   90.04
22:36:52     all    3.91    0.00    2.78    0.00    0.51    0.00    0.00    0.00    0.00   92.80
22:36:53     all    3.49    0.00    1.75    0.00    0.25    0.62    0.00    0.00    0.00   93.89
22:36:54     all    3.14    0.00    1.76    0.25    0.50    0.25    0.00    0.00    0.00   94.10
22:36:55     all    5.90    0.00    2.64    0.13    0.50    0.38    0.00    0.00    0.00   90.45
22:36:56     all    8.08    0.00    1.77    0.00    0.51    0.63    0.00    0.00    0.00   89.02
22:36:57     all    5.01    0.00    2.38    0.00    0.63    0.50    0.00    0.00    0.00   91.49
22:36:58     all    3.25    0.00    1.75    0.00    0.25    0.37    0.00    0.00    0.00   94.38
22:36:59     all    4.56    0.00    3.93    0.00    0.63    0.51    0.00    0.00    0.00   90.37
22:37:00     all    3.63    0.00    1.38    0.13    0.38    0.38    0.13    0.00    0.00   93.98
22:37:01     all    5.29    0.00    3.65    0.00    0.38    0.63    0.00    0.00    0.00   90.05
22:37:02     all   19.00    0.00    3.00    0.12    0.62    0.38    0.00    0.00    0.00   76.88
22:37:03     all    8.11    0.00    3.04    0.13    0.76    0.76    0.00    0.00    0.00   87.20
22:37:04     all   11.01    0.00    2.63    0.13    0.38    0.88    0.13    0.00    0.00   84.86
22:37:05     all    3.65    0.00    1.76    0.00    0.63    0.00    0.00    0.00    0.00   93.95
22:37:06     all    5.28    0.00    1.88    0.25    0.25    0.88    0.00    0.00    0.00   91.46
22:37:07     all    3.25    0.00    1.88    0.12    0.62    0.38    0.00    0.00    0.00   93.75
22:37:08     all    4.14    0.00    1.63    0.13    0.38    0.25    0.00    0.00    0.00   93.48
22:37:09     all    5.28    0.00    2.64    0.00    0.63    0.63    0.00    0.00    0.00   90.82
22:37:10     all    4.05    0.00    1.77    0.00    0.38    0.76    0.00    0.00    0.00   93.04
22:37:11     all    7.54    0.00    4.15    0.00    0.75    0.50    0.13    0.00    0.00   86.93
22:37:12     all    5.79    0.00    2.89    0.25    0.25    0.38    0.13    0.00    0.00   90.31
22:37:13     all    4.76    0.00    1.75    0.00    0.63    0.50    0.00    0.00    0.00   92.36
22:37:14     all    4.28    0.00    1.64    0.00    0.38    0.63    0.00    0.00    0.00   93.07
22:37:15     all    4.28    0.00    2.26    0.13    0.50    0.38    0.00    0.00    0.00   92.45
22:37:16     all    6.13    0.00    2.13    0.13    0.50    0.88    0.00    0.00    0.00   90.24
22:37:17     all    4.02    0.00    2.39    0.00    0.75    0.38    0.00    0.00    0.00   92.46
22:37:18     all    3.52    0.00    2.51    0.13    0.38    0.50    0.00    0.00    0.00   92.96
22:37:19     all    4.77    0.00    1.88    0.13    0.38    0.25    0.00    0.00    0.00   92.60
22:37:20     all    3.38    0.00    1.38    0.00    0.50    0.50    0.00    0.00    0.00   94.24
22:37:21     all    6.43    0.00    3.03    0.13    0.50    0.50    0.00    0.00    0.00   89.41
22:37:22     all    4.26    0.00    2.75    0.13    0.38    0.50    0.13    0.00    0.00   91.86
22:37:23     all    2.89    0.00    1.26    0.13    0.38    0.13    0.13    0.00    0.00   95.10
22:37:24     all   18.92    0.00    1.75    0.00    0.50    0.75    0.00    0.00    0.00   78.07
